bug_id,class_under_test
AuthMe-ConfigMe-7bf10c513479,ch.jalu.configme.configurationdata.PropertyListBuilder
AuthMe-ConfigMe-aa91a6b315ec,ch.jalu.configme.configurationdata.CommentsConfiguration
GoSimpleLLC-nbvcxz-ee8d5c62f4fb,me.gosimple.nbvcxz.matching.DictionaryMatcher
GoSimpleLLC-nbvcxz-ee8d5c62f4fb,me.gosimple.nbvcxz.resources.ConfigurationBuilder
GoSimpleLLC-nbvcxz-ee8d5c62f4fb,me.gosimple.nbvcxz.resources.Dictionary
IBM-JSONata4Java-1485a41ccf50,com.api.jsonata4java.expressions.OrderByOperator
YehiaFarghaly-database-engine-8314bfdec0aa,app.DBApp
YehiaFarghaly-database-engine-8314bfdec0aa,util.validation.Validator
YehiaFarghaly-database-engine-c5f961f27373,app.DBApp
YehiaFarghaly-database-engine-c5f961f27373,util.validation.Validator
assertj-assertj-vavr-f4d7f276e87c,org.assertj.vavr.api.AbstractSeqAssert
aws-aws-secretsmanager-jdbc-d25e52d637cf,com.amazonaws.secretsmanager.sql.AWSSecretsManagerPostgreSQLDriver
beanshell-beanshell-7a60a06bb567,bsh.Reflect
beanshell-beanshell-7a60a06bb567,bsh.This
beanshell-beanshell-f345606a29bd,bsh.Operators
bhlangonijr-chesslib-cf68677eac6d,com.github.bhlangonijr.chesslib.pgn.GameLoader
c-rack-cbor-java-cabd70d02e86,co.nstant.in.cbor.decoder.SpecialDecoder
c-rack-cbor-java-cabd70d02e86,co.nstant.in.cbor.encoder.SpecialEncoder
c-rack-cbor-java-cabd70d02e86,co.nstant.in.cbor.model.SpecialType
cdimascio-dotenv-java-bbfbcfa63e3a,io.github.cdimascio.dotenv.internal.DotenvParser
crawler-commons-crawler-commons-2c2cb3bf7a95,crawlercommons.robots.SimpleRobotRulesParser
damianszczepanik-cucumber-reporting-f11e9867941b,net.masterthought.cucumber.generators.FeatureReportPage
davidmoten-openapi-to-plantuml-773340861981,com.github.davidmoten.oas3.puml.Converter
davidmoten-word-wrap-e59eedf0bac7,org.davidmoten.text.utils.WordWrap
dmak-jaxb-xew-plugin-f48935133d6a,com.sun.tools.xjc.addon.xew.XmlElementWrapperPlugin
ezylang-EvalEx-7c39c5478a39,com.ezylang.evalex.parser.Tokenizer
fusesource-jansi-58260c6ce08c,org.fusesource.jansi.AnsiRenderer
gitbucket-markedj-2dce74e12083,io.github.gitbucket.markedj.Grammer
jhy-jsoup-29be991198d3,org.jsoup.nodes.TextNode
jhy-jsoup-9e5869b6e1e2,org.jsoup.nodes.TextNode
jhy-jsoup-45ed00232722,org.jsoup.helper.HttpConnection
jhy-jsoup-f2913bd731f1,org.jsoup.nodes.TextNode
jhy-jsoup-9bb07d2ab43c,org.jsoup.nodes.Node
jhy-jsoup-e52224fbfe66,org.jsoup.nodes.TextNode
jhy-jsoup-a96ebc95f9ad,org.jsoup.helper.HttpConnection
jhy-jsoup-220a3b21be3b,org.jsoup.parser.HtmlTreeBuilder
jhy-jsoup-220a3b21be3b,org.jsoup.parser.HtmlTreeBuilderState
jhy-jsoup-a349582236a7,org.jsoup.nodes.Element
jhy-jsoup-195f484ba5de,org.jsoup.parser.Tag
jhy-jsoup-a90bae7928f9,org.jsoup.nodes.Comment
jhy-jsoup-a90bae7928f9,org.jsoup.nodes.Element
jhy-jsoup-a90bae7928f9,org.jsoup.nodes.Node
jhy-jsoup-2f48a617fe48,org.jsoup.nodes.Element
jhy-jsoup-111919256590,org.jsoup.nodes.Element
jhy-jsoup-0121311b1bd5,org.jsoup.helper.UrlBuilder
jhy-jsoup-0121311b1bd5,org.jsoup.internal.StringUtil
jhy-jsoup-dea49696e976,org.jsoup.parser.HtmlTreeBuilder
jhy-jsoup-dea49696e976,org.jsoup.parser.HtmlTreeBuilderState
jhy-jsoup-dea49696e976,org.jsoup.parser.Tag
jhy-jsoup-c93ea51dabfb,org.jsoup.parser.HtmlTreeBuilder
jhy-jsoup-c93ea51dabfb,org.jsoup.parser.HtmlTreeBuilderState
jhy-jsoup-c93ea51dabfb,org.jsoup.parser.Token
jhy-jsoup-f0ae81b13eb3,org.jsoup.parser.CharacterReader
jhy-jsoup-f0ae81b13eb3,org.jsoup.parser.TokeniserState
jhy-jsoup-8e2b86839b27,org.jsoup.nodes.Element
jhy-jsoup-4a278e9b8e9c,org.jsoup.helper.W3CDom
jhy-jsoup-401c8b010e01,org.jsoup.parser.HtmlTreeBuilder
jhy-jsoup-1e69577e358c,org.jsoup.helper.UrlBuilder
jhy-jsoup-8e8970650951,org.jsoup.nodes.Document
jhy-jsoup-91b630f86b5c,org.jsoup.nodes.Attributes
jhy-jsoup-5f20fcc2f728,org.jsoup.safety.Safelist
jhy-jsoup-9de27fa7cd82,org.jsoup.Connection
jhy-jsoup-9de27fa7cd82,org.jsoup.helper.HttpConnection
jhy-jsoup-6ccd158754e2,org.jsoup.helper.UrlBuilder
jhy-jsoup-1657e8fd6588,org.jsoup.nodes.DataNode
jhy-jsoup-2a4a9cf83dea,org.jsoup.select.StructuralEvaluator
jhy-jsoup-d126488db626,org.jsoup.select.QueryParser
klausbrunner-solarpositioning-79c0044373b4,net.e175.klaus.solarpositioning.Grena3
klausbrunner-solarpositioning-79c0044373b4,net.e175.klaus.solarpositioning.SPA
klausbrunner-solarpositioning-4d35aecb4840,net.e175.klaus.solarpositioning.DeltaT
nikoo28-java-solutions-8d81307ea165,leetcode.medium.OnlineStockSpan
revelc-formatter-maven-plugin-3e9843d2ab99,net.revelc.code.formatter.css.CssFormatter
salesforce-grammaticus-cdf67a1ad578,com.force.i18n.grammar.impl.GrammaticalTermMapImpl
semver4j-semver4j-10102b374298,org.semver4j.RangesList
semver4j-semver4j-de7dadc7ece6,org.semver4j.Semver
semver4j-semver4j-beb7e5d466c7,org.semver4j.internal.range.processor.XRangeProcessor
slub-urnlib-106be8d1b804,de.slub.urn.RQF_RFC8141
snowflakedb-snowflake-jdbc-f2c8eba73535,net.snowflake.client.jdbc.RestRequest
snowflakedb-snowflake-jdbc-002bc9bb528a,net.snowflake.client.jdbc.SnowflakeConnectString
snowflakedb-snowflake-jdbc-002bc9bb528a,net.snowflake.client.jdbc.SnowflakeDriver
snowflakedb-snowflake-jdbc-7444f58c2aef,net.snowflake.client.config.SFClientConfigParser
snowflakedb-snowflake-jdbc-15a45aca6bcd,net.snowflake.client.jdbc.SnowflakeFileTransferAgent
spring-projects-spring-guice-ce15b8e5802a,org.springframework.guice.module.SpringModule
vmzakharov-dataframe-ec-12af99192d24,io.github.vmzakharov.ecdataframe.dsl.value.StringValue
vmzakharov-dataframe-ec-e9eb4dbe0e70,io.github.vmzakharov.ecdataframe.dataframe.compare.ComparisonResult
w3c-epubcheck-0759a82ae407,com.adobe.epubcheck.opf.OPFChecker30
w3c-epubcheck-0759a82ae407,com.adobe.epubcheck.ops.OPSHandler30
w3c-epubcheck-7804c78a53f2,org.w3c.epubcheck.core.references.ResourceReferencesChecker
w3c-epubcheck-49aacb238c3e,com.adobe.epubcheck.tool.EpubChecker
wmixvideo-nfe-67518e14db7e,com.fincatto.documentofiscal.mdfe3.classes.nota.MDFInfoModalRodoviarioVeiculoReboque
