bug_id,class_under_test,java_version
AuthMe-ConfigMe-7bf10c513479,ch.jalu.configme.configurationdata.PropertyListBuilder,8
AuthMe-ConfigMe-aa91a6b315ec,ch.jalu.configme.configurationdata.CommentsConfiguration,11
GoSimpleLLC-nbvcxz-ee8d5c62f4fb,me.gosimple.nbvcxz.matching.DictionaryMatcher,11
GoSimpleLLC-nbvcxz-ee8d5c62f4fb,me.gosimple.nbvcxz.resources.ConfigurationBuilder,11
GoSimpleLLC-nbvcxz-ee8d5c62f4fb,me.gosimple.nbvcxz.resources.Dictionary,11
IBM-JSONata4Java-1485a41ccf50,com.api.jsonata4java.expressions.OrderByOperator,8
YehiaFarghaly-database-engine-8314bfdec0aa,app.DBApp,8
YehiaFarghaly-database-engine-8314bfdec0aa,util.validation.Validator,11
YehiaFarghaly-database-engine-c5f961f27373,app.DBApp,11
YehiaFarghaly-database-engine-c5f961f27373,util.validation.Validator,8
assertj-assertj-vavr-f4d7f276e87c,org.assertj.vavr.api.AbstractSeqAssert,8
aws-aws-secretsmanager-jdbc-d25e52d637cf,com.amazonaws.secretsmanager.sql.AWSSecretsManagerPostgreSQLDriver,11
beanshell-beanshell-7a60a06bb567,bsh.Reflect,8
beanshell-beanshell-7a60a06bb567,bsh.This,8
beanshell-beanshell-f345606a29bd,bsh.Operators,8
bhlangonijr-chesslib-cf68677eac6d,com.github.bhlangonijr.chesslib.pgn.GameLoader,11
c-rack-cbor-java-cabd70d02e86,co.nstant.in.cbor.decoder.SpecialDecoder,8
c-rack-cbor-java-cabd70d02e86,co.nstant.in.cbor.encoder.SpecialEncoder,8
c-rack-cbor-java-cabd70d02e86,co.nstant.in.cbor.model.SpecialType,8
cdimascio-dotenv-java-bbfbcfa63e3a,io.github.cdimascio.dotenv.internal.DotenvParser,11
crawler-commons-crawler-commons-2c2cb3bf7a95,crawlercommons.robots.SimpleRobotRulesParser,11
damianszczepanik-cucumber-reporting-f11e9867941b,net.masterthought.cucumber.generators.FeatureReportPage,8
davidmoten-openapi-to-plantuml-773340861981,com.github.davidmoten.oas3.puml.Converter,8
davidmoten-word-wrap-e59eedf0bac7,org.davidmoten.text.utils.WordWrap,11
dmak-jaxb-xew-plugin-f48935133d6a,com.sun.tools.xjc.addon.xew.XmlElementWrapperPlugin,8
ezylang-EvalEx-7c39c5478a39,com.ezylang.evalex.parser.Tokenizer,11
fusesource-jansi-58260c6ce08c,org.fusesource.jansi.AnsiRenderer,11
gitbucket-markedj-2dce74e12083,io.github.gitbucket.markedj.Grammer,11
jhy-jsoup-0121311b1bd5,org.jsoup.helper.UrlBuilder,11
jhy-jsoup-0121311b1bd5,org.jsoup.internal.StringUtil,8
jhy-jsoup-111919256590,org.jsoup.nodes.Element,8
jhy-jsoup-1657e8fd6588,org.jsoup.nodes.DataNode,8
jhy-jsoup-195f484ba5de,org.jsoup.parser.Tag,8
jhy-jsoup-1e69577e358c,org.jsoup.helper.UrlBuilder,11
jhy-jsoup-220a3b21be3b,org.jsoup.parser.HtmlTreeBuilder,8
jhy-jsoup-220a3b21be3b,org.jsoup.parser.HtmlTreeBuilderState,8
jhy-jsoup-29be991198d3,org.jsoup.nodes.TextNode,8
jhy-jsoup-2a4a9cf83dea,org.jsoup.select.StructuralEvaluator,8
jhy-jsoup-2f48a617fe48,org.jsoup.nodes.Element,8
jhy-jsoup-401c8b010e01,org.jsoup.parser.HtmlTreeBuilder,8
jhy-jsoup-45ed00232722,org.jsoup.helper.HttpConnection,8
jhy-jsoup-4a278e9b8e9c,org.jsoup.helper.W3CDom,8
jhy-jsoup-5f20fcc2f728,org.jsoup.safety.Safelist,8
jhy-jsoup-6ccd158754e2,org.jsoup.helper.UrlBuilder,11
jhy-jsoup-8e2b86839b27,org.jsoup.nodes.Element,8
jhy-jsoup-8e8970650951,org.jsoup.nodes.Document,8
jhy-jsoup-91b630f86b5c,org.jsoup.nodes.Attributes,8
jhy-jsoup-9bb07d2ab43c,org.jsoup.nodes.Node,8
jhy-jsoup-9de27fa7cd82,org.jsoup.Connection,11
jhy-jsoup-9de27fa7cd82,org.jsoup.helper.HttpConnection,8
jhy-jsoup-9e5869b6e1e2,org.jsoup.nodes.TextNode,8
jhy-jsoup-a349582236a7,org.jsoup.nodes.Element,8
jhy-jsoup-a90bae7928f9,org.jsoup.nodes.Comment,8
jhy-jsoup-a90bae7928f9,org.jsoup.nodes.Element,8
jhy-jsoup-a90bae7928f9,org.jsoup.nodes.Node,8
jhy-jsoup-a96ebc95f9ad,org.jsoup.helper.HttpConnection,8
jhy-jsoup-c93ea51dabfb,org.jsoup.parser.HtmlTreeBuilder,8
jhy-jsoup-c93ea51dabfb,org.jsoup.parser.HtmlTreeBuilderState,8
jhy-jsoup-c93ea51dabfb,org.jsoup.parser.Token,8
jhy-jsoup-d126488db626,org.jsoup.select.QueryParser,8
jhy-jsoup-dea49696e976,org.jsoup.parser.HtmlTreeBuilder,8
jhy-jsoup-dea49696e976,org.jsoup.parser.HtmlTreeBuilderState,8
jhy-jsoup-dea49696e976,org.jsoup.parser.Tag,8
jhy-jsoup-e52224fbfe66,org.jsoup.nodes.TextNode,8
jhy-jsoup-f0ae81b13eb3,org.jsoup.parser.CharacterReader,11
jhy-jsoup-f0ae81b13eb3,org.jsoup.parser.TokeniserState,11
jhy-jsoup-f2913bd731f1,org.jsoup.nodes.TextNode,8
klausbrunner-solarpositioning-4d35aecb4840,net.e175.klaus.solarpositioning.DeltaT,11
klausbrunner-solarpositioning-79c0044373b4,net.e175.klaus.solarpositioning.Grena3,11
klausbrunner-solarpositioning-79c0044373b4,net.e175.klaus.solarpositioning.SPA,8
